grievance_text,severity
still wifi down since long time yaar,High
"please check, router problem since morning bhai",Low
cannot access sites since morning,Low
intrnet not working yaar,High
no connection not resolved yet yaar,High
internet not functioning from last night bhai,High
unstable connection since morning bhai,Low
"please check, facing disconnecting again and again kya ho raha hai",Low
"please check, still no connection kya ho raha hai",High
"buffering issue, what is this? bhai",Low
"please check, internet very slow again yaar",Low
SPEED IS LOW!!!,Low
lag issue not resolved yet bhai,Low
STILL ROUTER PROBLEM!!! bhai,Low
STILL ROUTER NOT WORKING!!!,Low
"please check, facing intrnet gone yaar",High
facing no connection since long time bhai,High
wifi GONE PLS FIX!!! yaar,High
net GONE SINCE MORNING!!! kya masla hai,High
"please check, intrnet not functioning again bhai",High
WIFI DOWN SINCE MORNING!!! yaar,High
unstable connection not resolved yet since long time bhai,Low
"please check, facing packet loss happening",Low
data loss trouble kya ho raha hai,Low
"please check, wifi down, what is this? yaar",High
unstable connection yaar,Low
no connection not resolved yet since long time,High
dns not resolving again,Low
"please check, keeps dropping since morning",Low
net gone pls fix yaar,High
unstable connection not resolved yet since long time bhai,Low
ROUTER PROBLEM NOT RESOLVED YET!!! yaar,Low
"please check, ping too high pls fix kya ho raha hai",Low
HAVING ROUTER NOT running CONTINUOUSLY!!! bhai,Low
"please check, internet not working not resolved yet yaar",High
ping too high since morning since long time kya ho raha hai,Low
facing disconnecting again and again since long time yaar,Low
still wifi down yaar,High
facing internet not working,High
facing ping too high since long time bhai,Low
"connection GONE, WHAT IS THIS?!!! bhai",High
"please check, lag problem from last night bhai",Low
"please check, no connection bhai",High
STILL WIFI DOWN!!! bhai,High
"please check, buffering issue, what is this? yaar",Low
"please check, unstable connection pls fix",Low
NO CONNECTION FROM LAST NIGHT!!!,High
"lag issue, what is this? kya ho raha hai",Low
"please check, ping too high not resolved yet kya masla hai",Low
FACING LAG ISSUE!!!,Low
INTERNET GONE AGAIN!!!,High
"please check, internet gone again",High
"delay in response, what is this?",Low
facing net slow bhai,Low
unstable connection pls fix since long time yaar,Low
"please check, wifi down, what is this? bhai",High
wifi down again kya ho raha hai,High
FACING NO CONNECTION!!! bhai,High
net not working since morning since long time yaar,High
cannot access sites pls fix bhai,Low
still wifi down kya ho raha hai,High
no connection pls fix since long time bhai,High
facing unstable connection since long time,Low
data loss issue not resolved yet,Low
"please check, internet not working since morning kya masla hai",High
facing cannot access sites bhai,Low
INTERNET GONE SINCE MORNING!!! kya ho raha hai,High
FACING DATA LOSS ISSUE!!!,Low
facing internet not working since long time bhai,High
DATA LOSS ISSUE!!!,Low
"INTERNET GONE, WHAT IS THIS?!!!",High
"please check, lag trouble from last night",Low
HAVING WIFI DOWN CONTINUOUSLY!!!,High
HAVING NO CONNECTION CONTINUOUSLY!!! yaar,High
still no connection yaar,High
"internet not working, what is this? yaar",High
"please check, facing no connection",High
SPEED IS LOW AGAIN!!! pls fix,Low
WIFI DOWN SINCE MORNING!!! yaar,High
still wifi down since long time yaar,High
LAG ISSUE!!! yaar,Low
"please check, ping too high kya ho raha hai",Low
"internet very slow, what is this? since long time",Low
LAG trouble SINCE MORNING!!! bhai,Low
"wifi down, what is this? since long time kya ho raha hai",High
"please check, data loss issue again bhai",Low
still internet gone yaar,High
"please check, wifi down yaar",High
having internet gone continuously yaar,High
net slow from last night since long time yaar,Low
"please check, wifi down, what is this? bhai",High
"please check, still connection not working yaar",High
FACING INTERNET GONE!!! yaar,High
dns not resolving from last night since long time kya ho raha hai,Low
"please check, dns not resolving not resolved yet",Low
still no connection since long time yaar,High
STILL PACKET LOSS HAPPENING!!! bhai,Low
net not working since morning yaar,High
lag trouble yaar,Low
net NOT WORKING!!! kya ho raha hai,High
internet very slow pls fix kya ho raha hai,Low
"please check, no connection",High
delay in response since morning kya ho raha hai,Low
wifi GONE NOT RESOLVED YET!!! bhai,High
still intrnet very too slow bhai,Low
"please check, wifi down, what is this? bhai",High
"please check, still data loss trouble",Low
HAVING DELAY IN RESPONSE CONTINUOUSLY!!! bhai,Low
"please check, internet gone from last night yaar",High
router not working again,Low
"please check, unstable connection, what is this?",Low
"please check, dns not resolving, what is this? kya ho raha hai",Low
unstable connection pls fix since long time kya ho raha hai,Low
wifi NOT WORKING SINCE MORNING!!! yaar,High
"SPEED IS LOW, WHAT IS THIS?!!! yaar",Low
"no connection, what is this?",High
"please check, no connection again yaar",High
"please check, still data loss problem yaar",Low
"please check, disconnecting again and again, what is this?",Low
router not working from last night kya ho raha hai,Low
"please check, facing wifi down bhai",High
still net gone yaar,High
buffering problem not resolved yet yaar,Low
disconnecting again and again since long time,Low
having wifi gone continuously since long time,High
"please check, disconnecting again and again, what is this? yaar",Low
disconnecting again and again from last night kya ho raha hai,Low
HAVING INTERNET NOT functioning CONTINUOUSLY!!! bhai,High
still buffering problem,Low
"please check, still net slow yaar",Low
"please check, still data loss trouble kya masla hai",Low
data loss issue not resolved yet bhai,Low
STILL NO CONNECTION!!! kya ho raha hai,High
wifi down again bhai,High
having net gone continuously,High
having disconnecting again and again continuously since long time yaar,Low
connection GONE SINCE MORNING!!!,High
"please check, wifi gone pls fix bhai",High
having lag trouble continuously,Low
"WIFI DOWN, WHAT IS THIS?!!! bhai",High
keeps dropping pls fix bhai,Low
router not functioning from last night yaar,Low
"please check, keeps dropping not resolved yet bhai",Low
"please check, facing speed is low kya ho raha hai",Low
connection gone since long time bhai,High
keeps dropping pls fix bhai,Low
WIFI DOWN FROM LAST NIGHT!!!,High
ping too high again kya masla hai,Low
still net gone kya ho raha hai,High
wifi down pls fix,High
FACING WIFI DOWN!!! kya masla hai,High
wifi down not resolved yet since long time,High
"please check, still no connection kya ho raha hai",High
facing buffering issue bhai,Low
FACING NET SLOW!!! bhai,Low
DNS NOT RESOLVING AGAIN!!! bhai,Low
router problem again bhai,Low
lag issue since morning since long time yaar,Low
"please check, facing cannot access sites bhai",Low
having internet not working continuously bhai,High
"please check, having intrnet very slow continuously yaar",Low
still buffering issue since long time kya ho raha hai,Low
"please check, wifi down from last night",High
HAVING UNSTABLE CONNECTION CONTINUOUSLY!!! kya ho raha hai,Low
router not functioning since long time kya masla hai,Low
having lag trouble continuously bhai,Low
"please check, net gone from last night kya ho raha hai",High
ROUTER NOT functioning AGAIN!!! kya ho raha hai,Low
wifi down pls fix since long time,High
ROUTER PROBLEM FROM LAST NIGHT!!!,Low
SPEED IS LOW NOT RESOLVED YET!!! bhai,Low
unstable connection bhai,Low
HAVING net NOT WORKING CONTINUOUSLY!!!,High
cannot access sites again since long time kya ho raha hai,Low
connection not working pls fix bhai,High
DELAY IN RESPONSE AGAIN!!! bhai,Low
"connection gone, what is this? kya ho raha hai",High
connection GONE AGAIN!!!,High
"wifi NOT WORKING, WHAT IS THIS?!!! kya ho raha hai",High
"please check, router not working pls fix kya ho raha hai",Low
FACING BUFFERING ISSUE!!! bhai,Low
"please check, facing data loss problem kya masla hai",Low
still connection gone kya masla hai,High
"net NOT WORKING, WHAT IS THIS?!!! kya ho raha hai",High
disconnecting again and again not resolved yet yaar,Low
"please check, cannot access sites pls fix bhai",Low
"please check, no connection yaar",High
INTERNET VERY SLOW!!! bhai,Low
INTERNET GONE!!!,High
"please check, router not working not resolved yet kya ho raha hai",Low
facing buffering trouble since long time bhai,Low
lag problem pls fix since long time bhai,Low
wifi not working,High
PING TOO HIGH NOT RESOLVED YET!!! yaar,Low
speed is low again,Low
"please check, speed is low from last night kya masla hai",Low
FACING PACKET LOSS HAPPENING!!! yaar,Low
"please check, wifi down, what is this?",High
facing delay in response since long time,Low
internet gone again since long time bhai,High
still internet not working since long time bhai,High
still internet gone since long time kya ho raha hai,High
"please check, facing net very slow kya masla hai",Low
"please check, packet loss happening since morning bhai",Low
"please check, wifi gone kya ho raha hai",High
lag issue again,Low
having router not wrkng continuously,Low
net lagging again,Low
still no connection since long time bhai,High
NET SLOW FROM LAST NIGHT!!! bhai,Low
"please check, buffering trouble from last night bhai",Low
router not functioning since morning since long time kya ho raha hai,Low
FACING INTERNET GONE!!! yaar,High
still no connection since long time yaar,High
still router problem yaar,Low
UNSTABLE CONNECTION!!! bhai,Low
having keeps dropping continuously since long time,Low
"please check, disconnecting again and again pls fix kya ho raha hai",Low
still speed is low since long time,Low
router problem pls fix since long time bhai,Low
"please check, no connection, what is this?",High
STILL DELAY IN RESPONSE!!! kya ho raha hai,Low
"please check, internet not working, what is this? kya ho raha hai",High
"please check, having internet gone continuously kya ho raha hai",High
having keeps dropping continuously kya ho raha hai,Low
facing buffering trouble since long time yaar,Low
"please check, having unstable connection continuously",Low
"please check, no connection again bhai",High
dns not resolving pls fix since long time,Low
having disconnecting again and again continuously since long time,Low
"please check, net gone",High
"please check, internet not running again kya masla hai",High
"please check, ping too high from last night",Low
STILL connection NOT WORKING!!!,High
net gone again since long time,High
DELAY IN RESPONSE SINCE MORNING!!! bhai,Low
"wifi gone, what is this? bhai",High
HAVING NET SLOW CONTINUOUSLY!!!,Low
INTERNET VERY SLOW SINCE MORNING!!! bhai,Low
net VERY SLOW PLS FIX!!! kya ho raha hai,Low
delay in response not resolved yet since long time yaar,Low
net gone again bhai,High
no connection again since long time yaar,High
BUFFERING ISSUE!!! kya ho raha hai,Low
keeps dropping pls fix since long time kya ho raha hai,Low
"please check, net not working pls fix yaar",High
still internet gone kya ho raha hai,High
"please check, internet not working, what is this? kya ho raha hai",High
"please check, facing keeps dropping",Low
internet not wrkng since morning bhai,High
"please check, speed is low from last night bhai",Low
"please check, having data loss issue continuously bhai",Low
wifi down again kya ho raha hai,High
having internet very very slow continuously since long time,Low
ROUTER PROBLEM AGAIN!!! kya ho raha hai,Low
disconnecting again and again not resolved yet since long time bhai,Low
"please check, internet gone, what is this?",High
"please check, wifi gone not resolved yet bhai",High
net gone again since long time,High
delay in response from last night yaar,Low
ROUTER PROBLEM!!!,Low
INTERNET NOT functioning AGAIN!!! bhai,High
STILL NET SLOW!!!,Low
"please check, data loss trouble not resolved yet yaar",Low
"please check, facing router not working",Low
router problem again since long time,Low
DNS NOT RESOLVING SINCE MORNING!!!,Low
keeps dropping pls fix since long time bhai,Low
NET SLOW FROM LAST NIGHT!!!,Low
"ROUTER PROBLEM, WHAT IS THIS?!!!",Low
DATA LOSS trouble FROM LAST NIGHT!!!,Low
DELAY IN RESPONSE!!!,Low
facing wifi down kya masla hai,High
still buffering problem since long time kya masla hai,Low
dns not resolving pls fix,Low
having buffering problem continuously yaar,Low
ping too high since morning bhai,Low
LAG ISSUE!!! kya ho raha hai,Low
NO CONNECTION AGAIN!!! bhai,High
cannot access sites from last night since long time bhai,Low
SPEED IS LOW PLS FIX!!!,Low
still speed is low yaar,Low
having internet very too slow continuously kya ho raha hai,Low
having ping too high continuously kya masla hai,Low
"please check, unstable connection, what is this? bhai",Low
"ROUTER NOT WORKING, WHAT IS THIS?!!! yaar",Low
wifi GONE PLS FIX!!!,High
ping too high again since long time bhai,Low
FACING NO CONNECTION!!! kya ho raha hai,High
packet loss happening kya ho raha hai,Low
"please check, having dns not resolving continuously bhai",Low
data loss trouble kya masla hai,Low
facing keeps dropping since long time,Low
"please check, no connection pls fix kya ho raha hai",High
"please check, having net lagging continuously",Low
still delay in response bhai,Low
"DISCONNECTING AGAIN AND AGAIN, WHAT IS THIS?!!!",Low
"please check, internet gone from last night",High
"please check, no connection not resolved yet kya ho raha hai",High
unstable connection pls fix since long time kya ho raha hai,Low
"please check, wifi down from last night bhai",High
INTERNET VERY too slow SINCE MORNING!!!,Low
data loss trouble,Low
"please check, still disconnecting again and again yaar",Low
"please check, still no connection kya ho raha hai",High
"please check, having ping too high continuously yaar",Low
disconnecting again and again again,Low
FACING DELAY IN RESPONSE!!! bhai,Low
facing net very slow,Low
buffering issue from last night kya ho raha hai,Low
facing packet loss happening bhai,Low
"intrnet gone, what is this? bhai",High
NO CONNECTION AGAIN!!!,High
speed is low again since long time yaar,Low
router not working pls fix since long time bhai,Low
delay in response pls fix since long time bhai,Low
internet gone kya ho raha hai,High
"please check, speed is low since morning bhai",Low
having router problem continuously yaar,Low
HAVING INTERNET NOT WORKING CONTINUOUSLY!!! yaar,High
"please check, speed is low pls fix kya ho raha hai",Low
wifi down since morning since long time bhai,High
delay in response from last night since long time,Low
HAVING PACKET LOSS HAPPENING CONTINUOUSLY!!! yaar,Low
facing dns not resolving kya ho raha hai,Low
"please check, internet not wrkng since morning bhai",High
ROUTER NOT WORKING NOT RESOLVED YET!!! kya ho raha hai,Low
still lag trouble since long time,Low
still dns not resolving since long time,Low
"unstable connection, what is this? yaar",Low
wifi down from last night kya masla hai,High
wifi GONE FROM LAST NIGHT!!! yaar,High
HAVING net GONE CONTINUOUSLY!!!,High
connection GONE FROM LAST NIGHT!!! bhai,High
having wifi down continuously,High
speed is low again since long time kya ho raha hai,Low
wifi down again since long time,High
disconnecting again and again bhai,Low
DATA LOSS ISSUE FROM LAST NIGHT!!!,Low
wifi down since morning since long time,High
"please check, facing wifi down",High
"internet very slow, what is this?",Low
net lagging from last night yaar,Low
no connection pls fix kya ho raha hai,High
INTERNET VERY lagging NOT RESOLVED YET!!! kya ho raha hai,Low
INTERNET NOT functioning SINCE MORNING!!! kya ho raha hai,High
still packet loss happening since long time,Low
net VERY SLOW FROM LAST NIGHT!!! yaar,Low
"please check, still packet loss happening",Low
STILL connection VERY SLOW!!! bhai,Low
disconnecting again and again since long time kya ho raha hai,Low
still packet loss happening kya ho raha hai,Low
speed is low pls fix since long time kya ho raha hai,Low
"please check, cannot access sites",Low
wifi very slow since morning,Low
"wifi down, what is this? kya ho raha hai",High
disconnecting again and again pls fix since long time kya masla hai,Low
delay in response pls fix since long time bhai,Low
DISCONNECTING AGAIN AND AGAIN!!! kya ho raha hai,Low
facing data loss issue since long time bhai,Low
"please check, wifi down since morning yaar",High
STILL ROUTER PROBLEM!!! kya ho raha hai,Low
still cannot access sites bhai,Low
"please check, no connection again kya masla hai",High
connection very slow again since long time yaar,Low
buffering issue pls fix since long time kya ho raha hai,Low
facing lag problem bhai,Low
INTERNET NOT running FROM LAST NIGHT!!!,High
still router problem since long time yaar,Low
"please check, facing net slow",Low
unstable connection from last night bhai,Low
"please check, speed is low pls fix yaar",Low
facing internet gone,High
router not running from last night yaar,Low
"please check, internet not working pls fix",High
still packet loss happening kya masla hai,Low
keeps dropping since morning kya masla hai,Low
still router not running since long time,Low
"data loss issue, what is this? since long time",Low
"please check, wifi down since morning",High
buffering trouble from last night since long time,Low
"please check, still delay in response bhai",Low
INTERNET NOT WORKING AGAIN!!! bhai,High
wifi not working from last night since long time yaar,High
"please check, having speed is low continuously yaar",Low
STILL connection NOT WORKING!!!,High
having connection gone continuously bhai,High
router problem since morning bhai,Low
"please check, disconnecting again and again not resolved yet bhai",Low
"please check, no connection",High
connection gone since morning since long time yaar,High
still wifi down since long time yaar,High
INTERNET GONE FROM LAST NIGHT!!! yaar,High
having router not functioning continuously since long time bhai,Low
having no connection continuously since long time bhai,High
WIFI DOWN FROM LAST NIGHT!!! kya masla hai,High
still speed is low since long time bhai,Low
"please check, having internet not working continuously yaar",High
INTERNET GONE SINCE MORNING!!! kya masla hai,High
"lag issue, what is this? since long time yaar",Low
WIFI DOWN FROM LAST NIGHT!!! yaar,High
wifi gone since morning since long time,High
NET SLOW!!! yaar,Low
internet not working since long time,High
having cannot access sites continuously since long time bhai,Low
LAG ISSUE AGAIN!!! kya ho raha hai,Low
wifi down again,High
HAVING INTERNET NOT WORKING CONTINUOUSLY!!! kya ho raha hai,High
"please check, delay in response since morning kya ho raha hai",Low
wifi down pls fix yaar,High
"please check, dns not resolving from last night yaar",Low
HAVING NO CONNECTION CONTINUOUSLY!!! kya ho raha hai,High
connection not working not resolved yet since long time bhai,High
"please check, facing packet loss happening kya masla hai",Low
"please check, no connection again bhai",High
lag trouble again,Low
DATA LOSS trouble SINCE MORNING!!!,Low
SPEED IS LOW FROM LAST NIGHT!!!,Low
"dns not resolving, what is this? since long time pls fix",Low
wifi very slow again bhai,Low
"please check, internet not working since morning bhai",High
facing wifi not working bhai,High
facing no connection,High
having delay in response continuously,Low
lag trouble since morning,Low
"please check, wifi down since morning bhai",High
wifi down pls fix since long time bhai,High
cannot access sites not resolved yet since long time yaar,Low
"please check, net gone pls fix yaar",High
facing no connection since long time kya ho raha hai,High
having buffering issue continuously kya ho raha hai,Low
FACING ROUTER NOT WORKING!!! yaar,Low
still wifi very slow kya ho raha hai,Low
"please check, facing no connection kya ho raha hai",High
connection gone again,High
"please check, facing internet gone kya ho raha hai",High
unstable connection since long time kya ho raha hai,Low
no connection bhai,High
"please check, packet loss happening since morning",Low
still wifi down since long time kya ho raha hai,High
LAG ISSUE NOT RESOLVED YET!!! bhai,Low
still no connection since long time kya ho raha hai,High
wifi gone kya ho raha hai,High
INTERNET GONE NOT RESOLVED YET!!! yaar,High
"wifi down, what is this?",High
router not functioning from last night bhai,Low
wifi down pls fix since long time,High
"SPEED IS LOW, WHAT IS THIS?!!!",Low
wifi down pls fix since long time bhai,High
WIFI DOWN AGAIN!!! bhai,High
"please check, having wifi down continuously",High
no connection again since long time yaar,High
NET SLOW!!! bhai,Low
having disconnecting again and again continuously,Low
having internet not functioning continuously since long time kya masla hai,High
still delay in response yaar,Low
wifi down pls fix since long time kya ho raha hai,High
SPEED IS LOW SINCE MORNING!!! bhai,Low
internet very slow not resolved yet since long time yaar,Low
"KEEPS DROPPING, WHAT IS THIS?!!!",Low
"please check, having wifi down continuously kya ho raha hai",High
"please check, packet loss happening, what is this? kya ho raha hai",Low
router not running from last night since long time,Low
DISCONNECTING AGAIN AND AGAIN AGAIN!!! bhai,Low
"NO CONNECTION, WHAT IS THIS?!!! yaar",High
still net not working bhai,High
"please check, router not working not resolved yet kya ho raha hai",Low
unstable connection since morning,Low
ping too high again bhai,Low
INTERNET GONE NOT RESOLVED YET!!! kya ho raha hai,High
ROUTER PROBLEM FROM LAST NIGHT!!! yaar,Low
internet gone not resolved yet bhai,High
lag issue pls fix since long time,Low
PING TOO HIGH!!!,Low
wifi down since morning yaar,High
FACING WIFI DOWN!!! kya masla hai,High
lag issue not resolved yet since long time bhai,Low
WIFI DOWN AGAIN!!!,High
wifi down again since long time,High
data loss issue since morning since long time,Low
"please check, facing wifi down kya ho raha hai",High
facing net gone since long time kya ho raha hai,High
connection very slow since long time yaar,Low
facing router problem,Low
having buffering issue continuously since long time bhai,Low
"please check, internet not working since morning bhai",High
KEEPS DROPPING SINCE MORNING!!! yaar,Low
NO CONNECTION PLS FIX!!!,High
facing net lagging since long time bhai,Low
HAVING net GONE CONTINUOUSLY!!! bhai,High
DISCONNECTING AGAIN AND AGAIN FROM LAST NIGHT!!! kya masla hai,Low
still buffering trouble since long time kya ho raha hai,Low
internet not working again since long time,High
"WIFI DOWN, WHAT IS THIS?!!! kya ho raha hai",High
data loss trouble pls fix kya ho raha hai,Low
wifi not working since morning yaar,High
data loss problem since morning since long time yaar,Low
disconnecting again and again bhai,Low
"unstable connection, what is this? since long time",Low
NET SLOW SINCE MORNING!!! yaar,Low
having connection not working continuously since long time bhai,High
"please check, keeps dropping pls fix kya ho raha hai",Low
lag trouble kya masla hai,Low
"please check, having no connection continuously",High
unstable connection from last night bhai,Low
delay in response pls fix since long time,Low
wifi down since long time kya ho raha hai,High
HAVING INTERNET NOT functioning CONTINUOUSLY!!! yaar,High
internet very slow again kya masla hai,Low
"please check, no connection not resolved yet",High
speed is low again,Low
STILL NO CONNECTION!!! kya ho raha hai,High
"PACKET LOSS HAPPENING, WHAT IS THIS?!!! kya ho raha hai",Low
wifi not wrkng from last night since long time kya masla hai,High
internet gone since long time,High
ping too high pls fix bhai,Low
still no connection bhai,High
"please check, speed is low not resolved yet yaar",Low
cannot access sites again bhai,Low
STILL DELAY IN RESPONSE!!! kya masla hai,Low
"please check, internet gone from last night bhai",High
"please check, no connection not resolved yet bhai",High
still net too slow yaar,Low
"please check, wifi very slow again",Low
NO CONNECTION SINCE MORNING!!!,High
no connection not resolved yet since long time kya ho raha hai,High
"please check, wifi gone from last night yaar",High
still disconnecting again and again since long time,Low
net slow since morning since long time kya masla hai,Low
"please check, intrnet very very slow since morning",Low
wifi down from last night yaar,High
PACKET LOSS HAPPENING NOT RESOLVED YET!!!,Low
"please check, facing packet loss happening bhai",Low
"please check, facing data loss trouble",Low
dns not resolving since morning yaar,Low
having wifi down continuously since long time kya masla hai,High
net lagging since morning since long time,Low
"please check, data loss issue, what is this? bhai",Low
delay in response pls fix since long time yaar,Low
"please check, unstable connection bhai",Low
wifi down not resolved yet asap,High
internet gone again bhai,High
"connection not working, what is this? bhai",High
delay in response pls fix,Low
facing cannot access sites since long time,Low
"please check, still no connection",High
UNSTABLE CONNECTION SINCE MORNING!!!,Low
"please check, router not running again kya ho raha hai",Low
SPEED IS LOW FROM LAST NIGHT!!!,Low
CANNOT ACCESS SITES PLS FIX!!! kya ho raha hai,Low
having disconnecting again and again continuously kya ho raha hai,Low
FACING DELAY IN RESPONSE!!! yaar,Low
"please check, buffering problem",Low
connection gone not resolved yet since long time kya ho raha hai,High
"please check, no connection pls fix kya ho raha hai",High
cannot access sites again since long time kya ho raha hai,Low
facing wifi gone yaar,High
disconnecting again and again pls fix bhai,Low
HAVING PACKET LOSS HAPPENING CONTINUOUSLY!!! yaar,Low
facing no connection since long time,High
INTERNET NOT running NOT RESOLVED YET!!! bhai,High
facing no connection since long time,High
still no connection bhai,High
SPEED IS LOW NOT RESOLVED YET!!!,Low
still ping too high kya ho raha hai,Low
net gone from last night,High
unstable connection bhai,Low
HAVING PACKET LOSS HAPPENING CONTINUOUSLY!!!,Low
internet gone since long time kya ho raha hai,High
keeps dropping again bhai,Low
lag issue since long time kya masla hai,Low
"packet loss happening, what is this? since long time bhai",Low
unstable connection again since long time,Low
"please check, net very slow again yaar",Low
"please check, buffering issue, what is this? kya ho raha hai",Low
"WIFI DOWN, WHAT IS THIS?!!! bhai",High
packet loss happening again,Low
router not functioning again,Low
having cannot access sites continuously kya ho raha hai,Low
lag trouble since long time bhai,Low
NO CONNECTION FROM LAST NIGHT!!! yaar,High
having buffering issue continuously kya ho raha hai,Low
data loss issue kya ho raha hai,Low
intrnet not functioning pls fix kya ho raha hai,High
HAVING INTERNET NOT functioning CONTINUOUSLY!!!,High
net NOT WORKING!!! bhai,High
"please check, packet loss happening yaar",Low
PING TOO HIGH FROM LAST NIGHT!!!,Low
keeps dropping kya masla hai,Low
still no connection since long time kya ho raha hai,High
keeps dropping from last night since long time yaar,Low
HAVING BUFFERING trouble CONTINUOUSLY!!! kya ho raha hai,Low
no connection since morning since long time yaar,High
HAVING INTERNET VERY very slow CONTINUOUSLY!!! bhai,Low
DELAY IN RESPONSE PLS FIX!!! yaar,Low
"WIFI DOWN, WHAT IS THIS?!!!",High
wifi down yaar,High
connection not wrkng not resolved yet yaar,High
no connection not resolved yet bhai,High
router problem not resolved yet since long time,Low
cannot access sites from last night kya ho raha hai,Low
ROUTER PROBLEM NOT RESOLVED YET!!!,Low
"connection gone, what is this? since long time yaar",High
"please check, still lag trouble kya masla hai",Low
PING TOO HIGH PLS FIX!!!,Low
internet not functioning bhai,High
NO CONNECTION NOT RESOLVED YET!!!,High
data loss issue from last night kya masla hai,Low
NO CONNECTION NOT RESOLVED YET!!!,High
buffering trouble from last night,Low
ROUTER PROBLEM FROM LAST NIGHT!!! bhai,Low
"please check, connection not working from last night yaar",High
"please check, facing internet gone",High
"please check, packet loss happening from last night kya masla hai",Low
"please check, having connection gone continuously yaar",High
facing wifi down since long time kya ho raha hai,High
data loss issue again bhai,Low
"please check, facing internet not running yaar",High
"please check, wifi not working again kya ho raha hai",High
"internet very slow, what is this? since long time bhai",Low
PACKET LOSS HAPPENING FROM LAST NIGHT!!! bhai,Low
"please check, router not working from last night",Low
still no connection bhai,High
wifi very slow since morning since long time kya ho raha hai,Low
"please check, lag problem pls fix kya ho raha hai",Low
internet gone from last night since long time bhai,High
NO CONNECTION!!! bhai,High
"please check, wifi down since morning bhai",High
connection NOT WORKING PLS FIX!!!,High
WIFI DOWN NOT RESOLVED YET!!! yaar,High
keeps dropping from last night kya ho raha hai,Low
"buffering issue, what is this? bhai",Low
facing wifi gone since long time yaar,High
"please check, having unstable connection continuously kya ho raha hai",Low
still no connection since long time,High
FACING NO CONNECTION!!! bhai,High
internet gone pls fix kya ho raha hai,High
router not functioning again since long time,Low
"please check, net too slow since morning",Low
"NO CONNECTION, WHAT IS THIS?!!! bhai",High
facing intrnet gone kya ho raha hai,High
"delay in response, what is this?",Low
still connection gone since long time bhai,High
wifi down pls fix since long time bhai,High
STILL CANNOT ACCESS SITES!!! yaar,Low
wifi down since long time bhai,High
"please check, packet loss happening, what is this? yaar",Low
internet not working pls fix since long time,High
having no connection continuously since long time,High
"please check, net slow not resolved yet bhai",Low
facing internet not working since long time bhai,High
"please check, facing wifi down yaar",High
"internet not working, what is this? bhai",High
still internet very slow yaar,Low
dns not resolving not resolved yet yaar,Low
DATA LOSS problem SINCE MORNING!!! bhai,Low
"please check, wifi down pls fix kya ho raha hai",High
"please check, no connection pls fix kya ho raha hai",High
"please check, wifi down not resolved yet",High
HAVING WIFI DOWN CONTINUOUSLY!!!,High
having net gone continuously since long time bhai,High
intrnet gone again,High
no connection since long time,High
FACING INTERNET NOT WORKING!!!,High
"please check, buffering issue, what is this?",Low
internet not functioning pls fix since long time kya masla hai,High
router problem not resolved yet since long time yaar,Low
net GONE SINCE MORNING!!! kya ho raha hai,High
internet very slow from last night bhai,Low
still wifi not wrkng since long time,High
"wifi down, what is this? yaar",High
ROUTER PROBLEM FROM LAST NIGHT!!! yaar,Low
buffering problem since morning kya masla hai,Low
INTERNET NOT WORKING SINCE MORNING!!! yaar,High
NO CONNECTION PLS FIX!!! bhai,High
STILL DISCONNECTING AGAIN AND AGAIN!!! bhai,Low
"please check, buffering issue, what is this? bhai",Low
"please check, no connection from last night bhai",High
keeps dropping again since long time yaar,Low
KEEPS DROPPING PLS FIX!!! bhai,Low
"please check, wifi gone not resolved yet yaar",High
still keeps dropping yaar,Low
"please check, router not running not resolved yet bhai",Low
facing router problem since long time bhai,Low
net gone not resolved yet,High
FACING wifi NOT WORKING!!! kya ho raha hai,High
"cannot access sites, what is this? since long time bhai",Low
HAVING INTERNET GONE CONTINUOUSLY!!!,High
"please check, internet not working pls fix",High
"please check, cannot access sites from last night yaar",Low
net not working pls fix since long time kya ho raha hai,High
unstable connection pls fix since long time kya ho raha hai,Low
"keeps dropping, what is this? kya ho raha hai",Low
wifi down from last night since long time,High
NET SLOW FROM LAST NIGHT!!! bhai,Low
dns not resolving bhai,Low
having wifi down continuously yaar,High
no connection again yaar,High
wifi down from last night kya ho raha hai,High
having no connection continuously since long time bhai,High
"ROUTER NOT WORKING, WHAT IS THIS?!!! bhai",Low
"please check, connection not working not resolved yet",High
"please check, net too slow again kya masla hai",Low
"please check, wifi down not resolved yet",High
facing internet not running bhai,High
DISCONNECTING AGAIN AND AGAIN!!! yaar,Low
router problem pls fix bhai,Low
net too slow pls fix since long time yaar,Low
"no connection, what is this? kya masla hai",High
still wifi down,High
FACING wifi VERY SLOW!!! kya ho raha hai,Low
"please check, still wifi down",High
"WIFI DOWN, WHAT IS THIS?!!! bhai",High
"please check, router not running since morning kya masla hai",Low
no connection since long time bhai,High
UNSTABLE CONNECTION SINCE MORNING!!! bhai,Low
"please check, wifi down pls fix yaar",High
wifi gone not resolved yet since long time yaar,High
net gone from last night since long time yaar,High
having no connection continuously since long time yaar,High
disconnecting again and again not resolved yet since long time,Low
facing internet not running bhai,High
"please check, still delay in response yaar",Low
FACING net NOT WORKING!!! bhai,High
"please check, internet not wrkng again",High
"please check, data loss issue pls fix yaar",Low
"please check, router problem pls fix yaar",Low
"please check, internet very slow pls fix",Low
